"","Species","taxonKey","nObs","common.names"
"359","Anthreptes orientalis",2484633,1519,"Kenya violet-backed sunbird"
"360","Anthreptes collaris",2484637,869,"collared sunbird"
"361","Aethopyga christinae",2484678,2335,"Fork-tailed Sunbird"
"362","Lichmera indistincta",2487341,175258,"Brown Honeyeater"
"363","Lichenostomus virescens",2486936,152734,"Singing honeyeater"
"364","Eremiornis carteri",2493042,1879,"Spinifexbird"
"365","Manacus vitellinus",2487668,5956,"golden-collared manakin"
"366","Malurus cyaneus",2487516,563269,"Superb Fairywren"
"367","Lanius collaris",2492863,225806,"Southern fiscal"
"368","Carpodacus mexicanus",2494446,281084,"house finch"
"369","Taeniopygia guttata",2493633,103212,"zebra finch"
"370","Padda oryzivora",2493591,288,"Java sparrow"
"371","Lonchura fuscans",2493619,2062,"Dusky Munia"
"372","Lonchura cucullata",2493624,1028,"Bronze Mannikin"
"373","Estrilda troglodytes",2493662,1761,"black-rumped waxbill"
"374","Estrilda melpoda",2493669,8872,"orange-cheeked waxbill"
"375","Erythrura gouldiae",5789080,3615,"Gouldian finch"
"376","Amadina fasciata",2493707,9709,"cutthroat"
"377","Pica pica",9805720,1851290,"Common magpie"
"378","Pica nuttalli",5229489,47693,"Yellow-billed magpie"
"379","Cyanocitta stelleri",2482598,703570,"Steller's jay"
"380","Aphelocoma coerulescens",2482400,17600,"scrub jay"
"381","Coereba flaveola",2493744,147560,"Bananaquit"
"382","Cnemophilus loriae",2492274,239,"Loria's bird-of-paradise"
"383","Cardinalis sinuatus",2490405,88639,"pyrrhuloxia"
"384","Cardinalis cardinalis",2490384,6139860,"northern cardinal"
"385","Mirafra erythrocephala",5788825,1043,"Indochinese bush lark"
"386","Eremalauda dunni",2490663,96,"Dunn's lark"
"387","Alaemon alaudipes",2490659,3071,"greater hoopoe-lark"
"388","Porzana cinerea",2474612,665,"white-browed crake"
"389","Porphyrio porphyrio",2474416,212358,"purple swamphen"
"390","Porphyrio hochstetteri",5228153,959,"South Island takahe"
"391","Megacrex inepta",2474443,26,"New Guinea flightless rail"
"392","Gallirallus owstoni",2474548,18,"Guam rail"
"393","Gallirallus australis",2474535,3032,"weka"
"394","Gallinula ventralis",5228214,38830,"Black-tailed Nativehen"
"395","Gallinula tenebrosa",5228220,200242,"Dusky Moorhen"
"396","Gallinula mortierii",9003282,15029,"Tasmanian Nativehen"
"397","Aramides cajanea",2474659,18506,"grey-necked wood-rail"
"398","Syrmaticus ellioti",2473483,68,"Elliot's pheasant"
"399","Syrmaticus humiae",2473479,177,"Hume's pheasant"
"400","Lagopus muta",5227679,46700,"rock ptarmigan"
"401","Lagopus leucura",5227717,4781,"white-tailed ptarmigan"
"402","Coturnix pectoralis",2474127,37578,"stubble quail"
"403","Coturnix chinensis",2474128,1924,"Blue-breasted Quail"
"404","Alectoris chukar",2474029,31697,"chukar partridge"
"405","Callipepla gambelii",5228072,161469,"Gambel's quail"
"406","Leipoa ocellata",2482152,13068,"malleefowl"
"407","Falco rupicoloides",2481010,13515,"Greater Kestrel"
"408","Daptrius ater",2481073,7678,"Black Caracara"
"409","Guira guira",2496462,23954,"Guira Cuckoo"
"410","Todus mexicanus",2475386,7167,"puerto rican tody"
"411","Phoeniculus purpureus",2498452,72493,"green woodhoopoe"
"412","Bycanistes bucinator",5228451,18396,"Trumpeter Hornbill"
"413","Aceros plicatus",5228437,140,"Blyth's hornbill"
"414","Dacelo novaeguineae",2475648,428869,"Laughing kookaburra"
"415","Ptilinopus superbus",2495594,7388,"Superb Fruit Dove"
"416","Ptilinopus perlatus",2495525,518,"pink-spotted fruit-dove"
"417","Ptilinopus melanospilus",2495630,1221,"black-naped fruit-dove"
"418","Leucosarcia melanoleuca",2495910,39202,"Wonga pigeon"
"419","Hemiphaga novaeseelandiae",2495905,14518,"New Zealand pigeon"
"420","Gymnophaps albertisii",2495182,775,"Papuan mountain-pigeon"
"421","Goura cristata",2495207,64,"Western crowned-pigeon"
"422","Geophaps plumifera",2495395,8283,"Spinifex Pigeon"
"423","Geopelia cuneata",2495494,36586,"diamond dove"
"424","Ducula zoeae",2496022,634,"Zoe Imperial Pigeon"
"425","Ducula rufigaster",2496018,278,"Purple-tailed Imperial Pigeon"
"426","Ducula rubricera",2495983,411,"red-knobbed imperial-pigeon"
"427","Ducula radiata",2496017,131,"Grey-headed Imperial-pigeon"
"428","Ducula pistrinaria",2496009,282,"island imperial-pigeon"
"429","Ducula pinon",2495954,699,"Pinon Imperial Pigeon"
"430","Ducula pacifica",2495948,920,"Pacific imperial-pigeon"
"431","Ducula bicolor",2496001,26270,"pied imperial-pigeon"
"432","Drepanoptila holosericea",2495724,124,"Cloven-feathered Dove"
"433","Columbina inca",2495863,237378,"inca dove"
"434","Columba vitiensis",9300216,917,"Metallic Pigeon"
"435","Columba livia",2495414,3378439,"rock pigeon"
"436","Caloenas nicobarica",5231891,440,"Nicobar pigeon"
"437","Urocolius macrourus",2482321,4244,"Blue-naped Mousebird"
"438","Colius striatus",5229467,160736,"speckled mousebird"
"439","Colius colius",5229466,40630,"White-backed Mousebird"
"440","Podargus strigoides",2497109,70425,"tawny frogmouth"
"441","Aegotheles cristatus",2496782,48351,"Australian Owlet-Nightjar"
"442","Collocalia vanikorensis",5788568,88,"Uniform swiftlet"
"443","Collocalia esculenta",2477292,4274,"glossy swiftlet"
"444","Hymenolaimus malacorhynchos",2498332,774,"Blue Duck"
"445","Aythya novaeseelandiae",2498262,5598,"New Zealand scaup"
"446","Anas rhynchotis",2498145,64037,"Australasian shoveler"
"447","Anas gracilis",2498095,276112,"grey teal"
"448","Anas castanea",2498097,159626,"chestnut teal"
"449","Anas aucklandica",2498078,85,"Auckland teal"
